; Sample Rate 8000
; Channels 2
         0.05325    0.38320146501   0.38320146501 
        0.053375   0.084697499406  0.084697499406 
          0.0535   -0.22382099507  -0.22382099507 
        0.053625   -0.50587495277  -0.50587495277 
         0.05375   -0.72811528482  -0.72811528482 
        0.053875   -0.86426428612  -0.86426428612 
           0.054   -0.89822404319  -0.89822404319 
        0.054125   -0.82597909914  -0.82597909914 
         0.05425   -0.65607187292  -0.65607187292 
        0.054375   -0.40859152284  -0.40859152284 
          0.0545   -0.11279979907  -0.11279979907 
        0.054625    0.19632888678   0.19632888678 
         0.05475    0.48224403709   0.48224403709 
        0.054875    0.71113931853   0.71113931853 
           0.055    0.85595092736   0.85595092736 
        0.055125     0.8995558233    0.8995558233 
         0.05525    0.83679891285   0.83679891285 
        0.055375    0.67509979196   0.67509979196 
          0.0555    0.43357822113   0.43357822113 
        0.055625    0.14079097938   0.14079097938 
         0.05575   -0.16864306713  -0.16864306713 
        0.055875   -0.45813733619  -0.45813733619 
           0.056   -0.69346202491  -0.69346202491 
        0.056125   -0.84679262852  -0.84679262852 
         0.05625   -0.89999998827  -0.89999998827 
        0.056375   -0.84679267369  -0.84679267369 
          0.0565   -0.69346191268  -0.69346191268 
        0.056625   -0.45813719602  -0.45813719602 
         0.05675   -0.16864327528  -0.16864327528 
        0.056875    0.14079101942   0.14079101942 
           0.057    0.43357839761   0.43357839761 
        0.057125    0.67509996053   0.67509996053 
         0.05725    0.83679876383   0.83679876383 
        0.057375    0.89955595182   0.89955595182 
          0.0575    0.85595090315   0.85595090315 
        0.057625     0.7111394126    0.7111394126 
         0.05775    0.48224414233   0.48224414233 
        0.057875    0.19632899854   0.19632899854 
           0.058   -0.11279992713  -0.11279992713 
        0.058125   -0.40859151958  -0.40859151958 
         0.05825   -0.65607167734  -0.65607167734 
        0.058375   -0.82597918063  -0.82597918063 
          0.0585   -0.89822405064  -0.89822405064 
        0.058625   -0.86426426517  -0.86426426517 
         0.05875    -0.7281152606   -0.7281152606 
        0.058875   -0.50587516138  -0.50587516138 
           0.059   -0.22382096993  -0.22382096993 
        0.059125   0.084697597194  0.084697597194 
         0.05925    0.38320130901   0.38320130901 
        0.059375    0.63639605884   0.63639605884 
          0.0595    0.81434423197   0.81434423197 
        0.059625    0.89600580093   0.89600580093 
         0.05975     0.8717247583    0.8717247583 
        0.059875    0.74437261373   0.74437261373 
            0.06     0.5290065459    0.5290065459 
        0.060125    0.25109189143   0.25109189143 
         0.06025  -0.056511470582 -0.056511470582 
        0.060375   -0.35743299965  -0.35743299965 
          0.0605   -0.61609243508  -0.61609243508 
        0.060625   -0.80190595984  -0.80190595984 
         0.06075   -0.89290315099  -0.89290315099 
        0.060875   -0.87832513498  -0.87832513498 
           0.061   -0.75989507139  -0.75989507139 
        0.061125   -0.55161629943  -0.55161629943 
         0.06125    -0.2781152362   -0.2781152362 
        0.061375   0.028269580565  0.028269580565 
          0.0615    0.33131211624   0.33131211624 
        0.061625    0.59518079273   0.59518079273 
         0.06175    0.78867598576   0.78867598576 
        0.061875    0.88891945779   0.88891945779 
           0.062    0.88405856444   0.88405856444 
        0.062125    0.77466784045   0.77466784045 
         0.06225    0.57368149655   0.57368149655 
        0.062375    0.30486419564   0.30486419564 
          0.0625  4.7031790018e-08 4.7031790018e-08 
        0.062625   -0.30486417515  -0.30486417515 
         0.06275   -0.57368163159  -0.57368163159 
        0.062875   -0.77466774732  -0.77466774732 
           0.063   -0.88405856257  -0.88405856257 
        0.063125   -0.88891953416  -0.88891953416 
         0.06325   -0.78867595177  -0.78867595177 
        0.063375    -0.5951806684   -0.5951806684 
          0.0635   -0.33131220285  -0.33131220285 
        0.063625  -0.028269724455 -0.028269724455 
         0.06375    0.27811539965   0.27811539965 
        0.063875    0.55161624961   0.55161624961 
           0.064    0.75989512168   0.75989512168 
        0.064125    0.87832504045   0.87832504045 
         0.06425    0.89290323528   0.89290323528 
        0.064375    0.80190579826   0.80190579826 
          0.0645    0.61609251425   0.61609251425 
        0.064625    0.35743321571   0.35743321571 
         0.06475   0.056511346716  0.056511346716 
        0.064875    -0.2510919678   -0.2510919678 
           0.065   -0.52900664927  -0.52900664927 
        0.065125   -0.74437252665  -0.74437252665 
         0.06525   -0.87172491383  -0.87172491383 
        0.065375   -0.89600566775  -0.89600566775 
          0.0655   -0.81434441591  -0.81434441591 
        0.065625   -0.63639596803  -0.63639596803 
         0.06575   -0.38320127735  -0.38320127735 
        0.065875  -0.084697440267 -0.084697440267 
           0.066    0.22382078459   0.22382078459 
        0.066125    0.50587509153   0.50587509153 
         0.06625    0.72811539751   0.72811539751 
        0.066375     0.8642642484    0.8642642484 
          0.0665    0.89822405484   0.89822405484 
        0.066625    0.82597917132   0.82597917132 
         0.06675    0.65607175464   0.65607175464 
